RAC1P,SEX,REGION,ST,CIT,NATIVITY,DIS,DIVISION,RAC2P,POBP,WAOB,ID
1,1,3,24,1,1,2,5,1,11,1,14040
1,2,2,17,1,1,2,3,1,36,1,11154
1,1,1,34,1,1,2,2,1,34,1,18132
1,2,3,22,1,1,1,7,1,28,1,13045
1,1,1,34,1,1,1,2,1,42,1,18875
1,1,2,17,1,1,2,3,1,19,1,10335
1,2,2,17,1,1,2,3,1,17,1,10488
1,2,3,48,1,1,1,7,1,26,1,28435
1,2,2,29,1,1,1,4,1,29,1,17098
1,1,3,12,1,1,2,5,1,13,1,6568
1,2,4,39,1,1,2,3,1,26,1,23115
2,1,3,16,1,1,2,5,2,12,1,7502
1,2,3,47,1,1,2,6,1,30,1,26627
1,2,1,42,1,1,2,2,1,42,1,24563
1,2,3,5,1,1,2,7,1,5,1,1596
1,2,3,13,1,1,1,5,1,13,1,9132
9,2,2,18,1,1,2,5,68,48,1,11470
8,2,3,48,1,1,2,7,67,48,1,29322
1,2,2,39,1,1,2,3,1,39,1,22627
9,1,3,12,1,1,1,5,68,54,1,7443
8,1,3,12,1,1,1,5,67,18,1,6899
1,1,2,25,1,1,2,4,1,56,1,15924
1,1,2,18,1,1,2,3,1,18,1,11455
8,2,4,72,2,1,1,0,67,72,2,32614
1,1,4,6,1,1,1,9,1,25,1,4861
1,2,3,37,1,1,2,5,1,37,1,21447
1,1,2,26,1,1,2,3,1,26,1,15057
1,2,2,29,1,1,1,4,1,29,1,16889
1,2,2,17,1,1,2,3,1,17,1,10612
9,1,3,51,1,1,1,5,68,24,1,30279
1,2,1,25,1,1,2,1,1,6,1,14468
1,2,3,51,1,1,2,5,1,31,1,30576
1,1,3,12,1,1,2,5,1,12,1,7773
1,1,1,36,1,1,2,2,1,36,1,19536
1,1,1,25,1,1,2,5,1,42,1,14684
1,1,2,19,1,1,2,4,1,19,1,12045
1,2,2,28,1,1,2,3,1,39,1,23187
1,2,4,17,1,1,2,3,1,17,1,11141
1,2,2,55,1,1,2,3,1,55,1,32199
1,1,3,12,1,1,2,5,1,25,1,6810
1,2,2,55,1,1,2,3,1,55,1,32142
1,2,1,36,1,1,2,2,1,36,1,20293
2,2,1,37,1,1,2,2,2,36,1,20291
1,1,2,26,1,1,2,3,1,26,1,15052
1,1,3,37,1,1,2,5,1,37,1,21512
1,1,1,25,1,1,2,1,1,25,1,14580
1,2,3,12,1,1,1,5,1,24,1,7506
1,1,4,48,1,1,2,7,1,48,1,28917
1,1,2,19,1,1,2,4,1,19,1,12043
1,2,4,49,1,1,2,8,1,49,1,29817
1,1,3,12,1,1,2,5,1,39,1,8011
1,2,3,22,1,1,2,7,1,22,1,13197
1,1,2,29,1,1,1,4,1,29,1,17106
1,1,3,37,1,1,2,5,1,37,1,21403
1,2,4,6,1,1,2,9,1,37,1,2486
1,2,2,38,1,1,1,4,1,17,1,17483
2,1,3,22,1,1,2,1,2,22,1,13102
1,1,3,37,1,1,2,5,1,37,1,21708
1,1,3,24,1,1,2,5,1,26,1,13598
1,2,3,12,1,1,1,5,1,12,1,6829
1,2,3,37,1,1,2,5,1,37,1,21189
1,2,3,48,1,1,2,7,1,48,1,28721
1,1,2,26,1,1,2,3,1,26,1,15532
1,1,4,49,1,1,2,8,1,49,1,29654
1,2,3,5,1,1,2,7,1,5,1,1331
1,1,2,26,1,1,2,3,1,26,1,15793
8,2,9,72,2,1,2,0,67,72,2,32691
1,2,3,12,1,1,2,7,1,42,1,8040
1,1,4,16,1,1,2,8,1,16,1,9839
2,1,3,54,1,1,1,5,2,54,1,31801
8,2,3,54,1,1,2,5,67,6,1,31834
1,1,4,36,1,1,2,2,1,36,1,19218
1,1,3,12,1,1,1,9,1,1,1,7232
1,1,2,37,1,1,2,5,1,36,1,21517
8,1,4,6,1,1,2,9,67,6,1,4244
1,2,1,25,1,1,2,1,1,25,1,14336
1,2,1,33,1,1,2,1,1,25,1,17964
1,2,1,9,1,1,2,1,1,9,1,6253
1,1,3,21,1,1,2,6,1,47,1,12757
1,2,2,27,1,1,2,4,1,27,1,16322
1,1,2,39,1,1,2,3,1,39,1,22481
1,2,3,22,1,1,1,7,1,5,1,13098
1,2,1,9,1,1,2,1,1,9,1,6256
1,2,3,21,1,1,2,6,1,21,1,12525
1,1,2,26,1,1,2,3,1,26,1,15014
1,1,3,24,1,1,2,5,1,27,1,13627
1,1,3,37,1,1,2,5,1,37,1,21472
1,2,3,10,1,1,2,5,1,10,1,6525
9,1,1,36,1,1,2,2,68,36,1,21134
1,2,2,19,1,1,2,4,1,6,1,11877
1,1,2,26,1,1,2,3,1,26,1,15361
1,1,1,36,1,1,2,4,1,36,1,19373
1,1,3,13,1,1,2,5,1,13,1,8814
9,2,4,41,1,1,2,9,68,41,1,23956
1,2,4,6,1,1,2,9,1,19,1,3522
1,2,3,12,1,1,2,5,1,12,1,8293
1,2,3,13,1,1,2,5,1,53,1,8754
1,2,4,32,1,1,2,8,1,55,1,17718
1,1,4,15,1,1,2,9,1,29,1,9533
2,2,4,6,1,1,2,9,2,47,1,2066
1,2,4,6,1,1,2,5,1,6,1,4337
1,1,4,49,1,1,2,8,1,49,1,29825
1,1,2,27,1,1,1,4,1,27,1,16141
1,2,3,48,1,1,2,7,1,48,1,28745
1,2,3,12,1,1,2,5,1,22,1,8355
8,1,9,72,1,1,2,0,67,36,1,32625
1,2,4,6,1,1,2,9,1,26,1,2405
2,1,4,48,1,1,2,7,2,22,1,27093
9,2,4,6,1,1,2,9,68,6,1,3931
8,2,4,32,1,1,2,8,67,32,1,17820
9,2,2,26,1,1,2,3,68,26,1,15514
1,1,3,45,1,1,2,5,1,45,1,25969
1,2,3,6,1,1,1,9,1,53,1,4377
1,2,2,17,1,1,2,0,1,17,1,11043
9,1,3,48,1,1,2,7,68,48,1,28951
9,2,9,42,1,1,2,8,68,8,1,5993
1,1,3,21,1,1,2,6,1,21,1,12571
1,1,3,48,1,1,2,7,1,48,1,27506
1,1,3,12,1,1,2,5,1,17,1,6725
1,1,1,42,1,1,2,2,1,42,1,25101
9,1,3,48,1,1,2,7,68,48,1,28830
1,1,2,20,1,1,2,4,1,20,1,12361
1,2,4,16,1,1,2,8,1,16,1,9857
1,1,2,55,1,1,2,3,1,55,1,32377
6,1,4,6,1,1,2,9,59,6,1,3839
1,1,3,48,1,1,2,7,1,49,1,28958
2,2,3,51,1,1,2,5,2,51,1,30617
1,2,4,6,1,1,2,9,1,6,1,4232
